===============================
Start experiment at Sat Sep 27 16:33:56 UTC 2025
Config: batch_size=128, hidden=30, lr=0.005, epochs=160
[17:50:35] Epoch 150: Loss=4.962896, Train RMSE=5.047239, Test RMSE=5.098013, Time=27.990 sec
[17:51:02] Epoch 151: Loss=4.960197, Train RMSE=5.202924, Test RMSE=5.258194, Time=27.519 sec
[17:51:29] Epoch 152: Loss=4.955306, Train RMSE=5.055382, Test RMSE=5.104013, Time=27.072 sec
[17:51:57] Epoch 153: Loss=4.953021, Train RMSE=5.130158, Test RMSE=5.186170, Time=27.784 sec
[17:52:25] Epoch 154: Loss=4.939407, Train RMSE=5.061760, Test RMSE=5.112385, Time=27.258 sec
[17:52:51] Epoch 155: Loss=4.941718, Train RMSE=5.129332, Test RMSE=5.184240, Time=26.912 sec
[17:53:22] Epoch 156: Loss=4.933039, Train RMSE=5.144032, Test RMSE=5.195777, Time=30.279 sec
[17:53:52] Epoch 157: Loss=4.938295, Train RMSE=5.038132, Test RMSE=5.097814, Time=30.493 sec
[17:54:23] Epoch 158: Loss=4.926114, Train RMSE=5.328997, Test RMSE=5.374804, Time=30.556 sec
[17:54:54] Epoch 159: Loss=4.920206, Train RMSE=5.187943, Test RMSE=5.251475, Time=31.177 sec
[17:55:25] Epoch 160: Loss=4.924324, Train RMSE=6.180515, Test RMSE=6.217175, Time=30.596 sec

