===============================
Start experiment at Sun Sep 28 00:53:50 UTC 2025
Config: batch_size=16, hidden=30, lr=0.005, epochs=160
[05:42:10] Epoch 108: Loss=4.747734, Train RMSE=6.204108, Test RMSE=6.198153, Time=139.893 sec
[05:44:28] Epoch 109: Loss=4.673516, Train RMSE=5.304528, Test RMSE=5.296488, Time=137.536 sec
[05:46:49] Epoch 110: Loss=4.660486, Train RMSE=5.128398, Test RMSE=5.121783, Time=141.354 sec
[05:50:22] Epoch 111: Loss=4.676056, Train RMSE=5.415662, Test RMSE=5.409880, Time=212.540 sec
[05:52:38] Epoch 112: Loss=4.644640, Train RMSE=5.174325, Test RMSE=5.168897, Time=136.849 sec
[05:54:56] Epoch 113: Loss=4.647709, Train RMSE=5.119948, Test RMSE=5.115168, Time=137.667 sec
[05:57:32] Epoch 114: Loss=4.605152, Train RMSE=5.110441, Test RMSE=5.104677, Time=155.441 sec
[06:00:48] Epoch 115: Loss=4.589460, Train RMSE=5.015599, Test RMSE=5.008832, Time=196.807 sec
[06:03:08] Epoch 116: Loss=4.570799, Train RMSE=5.145313, Test RMSE=5.131538, Time=139.368 sec
[06:05:26] Epoch 117: Loss=4.761374, Train RMSE=5.577284, Test RMSE=5.572127, Time=138.190 sec
[06:07:52] Epoch 118: Loss=4.728616, Train RMSE=5.242866, Test RMSE=5.237557, Time=145.604 sec
[06:10:34] Epoch 119: Loss=4.616461, Train RMSE=6.736715, Test RMSE=6.731755, Time=162.569 sec
[06:13:38] Epoch 120: Loss=4.623407, Train RMSE=5.170053, Test RMSE=5.160399, Time=183.682 sec
[06:15:57] Epoch 121: Loss=4.599129, Train RMSE=5.297543, Test RMSE=5.305077, Time=138.726 sec
[06:18:15] Epoch 122: Loss=4.570583, Train RMSE=4.948641, Test RMSE=4.943582, Time=138.779 sec
[06:21:03] Epoch 123: Loss=4.651757, Train RMSE=5.127154, Test RMSE=5.120189, Time=167.296 sec
[06:24:06] Epoch 124: Loss=4.584234, Train RMSE=5.869155, Test RMSE=5.863704, Time=182.780 sec
[06:26:24] Epoch 125: Loss=4.599099, Train RMSE=5.286933, Test RMSE=5.282735, Time=138.349 sec
[06:28:44] Epoch 126: Loss=4.567856, Train RMSE=4.946204, Test RMSE=4.940264, Time=139.900 sec
[06:32:05] Epoch 127: Loss=4.590004, Train RMSE=5.510152, Test RMSE=5.499633, Time=200.943 sec
[06:35:16] Epoch 128: Loss=4.917588, Train RMSE=5.897397, Test RMSE=5.891124, Time=190.825 sec
[06:37:35] Epoch 129: Loss=4.905037, Train RMSE=5.372040, Test RMSE=5.365383, Time=139.557 sec
[06:40:19] Epoch 130: Loss=4.779562, Train RMSE=5.262119, Test RMSE=5.253865, Time=164.236 sec
[06:42:40] Epoch 131: Loss=4.690284, Train RMSE=5.224023, Test RMSE=5.218027, Time=140.273 sec
[06:44:55] Epoch 132: Loss=4.668359, Train RMSE=4.995816, Test RMSE=4.991796, Time=135.588 sec
[06:48:00] Epoch 133: Loss=5.032795, Train RMSE=8.000402, Test RMSE=7.991451, Time=184.438 sec
[06:50:36] Epoch 134: Loss=4.699956, Train RMSE=4.996155, Test RMSE=4.988756, Time=156.187 sec
[06:52:51] Epoch 135: Loss=4.632233, Train RMSE=7.510809, Test RMSE=7.512860, Time=135.517 sec
[06:55:06] Epoch 136: Loss=4.766125, Train RMSE=5.054812, Test RMSE=5.050670, Time=134.312 sec
[06:58:06] Epoch 137: Loss=4.738380, Train RMSE=5.162240, Test RMSE=5.155763, Time=179.728 sec
[07:00:44] Epoch 138: Loss=4.680861, Train RMSE=5.069038, Test RMSE=5.063014, Time=158.284 sec
[07:03:01] Epoch 139: Loss=4.702054, Train RMSE=6.928585, Test RMSE=6.919920, Time=136.818 sec
[07:05:17] Epoch 140: Loss=4.706650, Train RMSE=5.041387, Test RMSE=5.039413, Time=136.796 sec
[07:08:48] Epoch 141: Loss=4.597101, Train RMSE=5.085285, Test RMSE=5.080327, Time=210.390 sec
